k,word_just_added,accuracy,n_correct,n_total
0,(none),0.0500,5,100
1,201.06,0.0000,0,100
2,=,0.0000,0,100
3,pi,0.0700,7,100
4,*,0.0700,7,100
5,r^2.,0.0700,7,100
6,r^2,0.0700,7,100
7,=,0.0000,0,100
8,201.06,0.0700,7,100
9,/,0.0700,7,100
10,pi,0.0700,7,100
11,=,0.0000,0,100
12,64.,0.0700,7,100
13,r,0.0700,7,100
14,=,0.0700,7,100
15,8.,0.0700,7,100
16,Circumference,0.0700,7,100
17,=,0.0900,9,100
18,2,0.0700,7,100
19,*,0.0700,7,100
20,pi,0.0700,7,100
21,*,0.0700,7,100
22,r,0.0700,7,100
23,=,0.0700,7,100
24,2,0.0700,7,100
25,*,0.0700,7,100
26,pi,0.0700,7,100
27,*,0.0700,7,100
28,8,0.0700,7,100
29,=,0.0700,7,100
30,50.24.,0.0700,7,100
