base_trace_idx,k,word_just_added,accuracy,n_correct,n_total
0,0,(none),0.0200,2,100
0,1,1/2mv^2,0.0300,3,100
0,2,=,0.0200,2,100
0,3,2.388e+04,0.0400,4,100
0,4,J,0.0400,4,100
0,5,v,0.0300,3,100
0,6,=,0.0400,4,100
0,7,52.8,0.0300,3,100
0,8,m/s,0.0300,3,100
0,9,t,0.0300,3,100
0,10,=,0.0300,3,100
0,11,d/v,0.0300,3,100
0,12,=,0.0300,3,100
0,13,30,0.0300,3,100
0,14,m,0.0300,3,100
0,15,/,0.0300,3,100
0,16,52.8,0.0300,3,100
0,17,m/s,0.0300,3,100
0,18,=,0.0300,3,100
0,19,0.57,0.9600,96,100
0,20,s.,1.0000,100,100
1,0,(none),0.0100,1,100
1,1,1,0.0700,7,100
1,2,/,0.0700,7,100
1,3,2,0.0400,4,100
1,4,*,0.0100,1,100
1,5,16,0.0400,4,100
1,6,*,0.0000,0,100
1,7,v,0.0300,3,100
1,8,^,0.0300,3,100
1,9,2,0.0300,3,100
1,10,=,0.0300,3,100
1,11,5.645e+04.,0.0400,4,100
1,12,V,0.0300,3,100
1,13,=,0.0000,0,100
1,14,85.46,0.9900,99,100
1,15,m,1.0000,100,100
1,16,/,1.0000,100,100
1,17,s.,1.0000,100,100
1,18,T,1.0000,100,100
1,19,=,1.0000,100,100
1,20,84,1.0000,100,100
1,21,/,1.0000,100,100
1,22,85.46,1.0000,100,100
1,23,=,1.0000,100,100
1,24,0.98,0.1200,12,100
1,25,s.,0.0600,6,100
2,0,(none),0.0600,6,100
2,1,5.545e+04,0.0400,4,100
2,2,=,0.0300,3,100
2,3,1/2,0.0400,4,100
2,4,*,0.0500,5,100
2,5,14,0.0000,0,100
2,6,*,0.0200,2,100
2,7,v^2.,0.0200,2,100
2,8,v,0.0500,5,100
2,9,=,0.0000,0,100
2,10,27.14,1.0000,100,100
2,11,m,1.0000,100,100
2,12,/,1.0000,100,100
2,13,s.,1.0000,100,100
2,14,33,1.0000,100,100
2,15,/,1.0000,100,100
2,16,27.14,1.0000,100,100
2,17,=,1.0000,100,100
2,18,1.216.,1.0000,100,100
3,0,(none),0.0200,2,100
3,1,1.200e+02,0.0500,5,100
3,2,=,0.0400,4,100
3,3,1/2,0.0400,4,100
3,4,*,0.0600,6,100
3,5,15,0.0000,0,100
3,6,*,0.0000,0,100
3,7,v^2.,0.0400,4,100
3,8,v,0.0400,4,100
3,9,=,0.0000,0,100
3,10,4.0,0.9900,99,100
3,11,m/s.,1.0000,100,100
3,12,t,1.0000,100,100
3,13,=,1.0000,100,100
3,14,11,0.9900,99,100
3,15,/,1.0000,100,100
3,16,4.0,1.0000,100,100
3,17,=,1.0000,100,100
3,18,2.75,1.0000,100,100
3,19,s.,1.0000,100,100
4,0,(none),0.0300,3,100
4,1,1,0.0600,6,100
4,2,/,0.0500,5,100
4,3,2,0.0100,1,100
4,4,*,0.0100,1,100
4,5,15,0.0000,0,100
4,6,*,0.0400,4,100
4,7,v,0.0500,5,100
